,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Brand,No. of Searches
0,0,0,0,0,Samsung,4
1,1,1,1,1,Garmin,0
2,2,2,2,2,Fitbit,0
3,3,3,3,3,Fossil,0
4,4,4,4,4,Huawei,1
5,5,5,5,5,TicWatch,0
6,6,6,6,6,Oppo,0
7,7,7,7,7,Amazfit,0
8,8,8,8,8,Withings,0
9,9,9,9,9,Suunto,0
10,10,10,10,10,Mobvoi,0
11,11,11,11,11,Polar,0
12,12,12,12,12,Apple,0
13,13,13,13,13,Skagen,0
14,14,14,14,14,Xiaomi,0
15,15,15,15,15,Honor,0
16,16,16,16,16,LG,0
17,17,17,17,17,Casio,0
18,18,18,18,18,OnePlus,0
19,19,19,19,19,Misfit,0
20,20,20,20,20,Motorola,0
21,21,21,21,21,MyKronoz,0
22,22,22,22,22,Sony,0
23,23,23,23,23,Zepp,0
24,24,24,24,24,Realme,0
25,25,25,25,25,Timex,0
26,26,26,26,26,Matrix,0
27,27,27,27,27,Kate Spade,0
28,28,28,28,28,Diesel,0
29,29,29,29,29,Michael Kors,0
30,30,30,30,30,Zeblaze,0
31,31,31,31,31,Lemfo,0
32,32,32,32,32,TAG Heuer,0
33,33,33,33,33,Montblanc,0
34,34,34,34,34,Asus,0
35,35,35,35,35,Emporio Armani,0
36,36,36,36,36,Polaroid,0
37,37,37,37,37,Kospet,0
38,38,38,38,38,Nokia,0
